id,year,make,model,trim,source,range,our_bolt,rk_bolt,bolt,our_bore,rk_bore,bore,our_stud,rk_stud,stud,rk_ref
"87940e3a-bf13-427f-84bc-d30a53ef2953","2006","jaguar","xj","Super V8","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"f96ac789-305c-42e3-9e6f-a36daddf3a40","2006","jaguar","xj","Super V8 Portfolio","tiresize.com","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"23802b3e-2103-4ff8-9120-1b64e2ebe3a9","2006","jaguar","xj","Supersport","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"dc825946-768a-4aba-abbd-1006f056b77f","2006","jaguar","xj","Vanden Plas","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"dd975b81-ab69-4ade-b68e-5e54b4bc4bad","2006","jaguar","xj","XJ","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"bec96955-b973-4dec-a513-2eee4951d1be","2006","jaguar","xj","XJ, XJL, XJR, Supersport","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"0f819eb5-f796-455b-aaee-71b0571b2392","2006","jaguar","xj","XJ8","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"fa89b1a2-097c-4ff4-bee3-9b0901e0e9ec","2006","jaguar","xj","XJ8 L","tiresize.com","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"60655ba5-97f0-447b-99cd-4142840f2cc5","2006","jaguar","xj","XJL","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"46260d69-5fd5-499b-94c0-549ecd22e2fa","2006","jaguar","xj","XJR","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"5b85ac2d-ea54-41d7-ab22-81c0c927dae6","2007","jaguar","xj","Super V8","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"8c5ed23b-6103-487d-b4b0-453ab3e37471","2007","jaguar","xj","Supersport","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"b7ecf55f-822a-4abb-bf77-5c034bba708d","2007","jaguar","xj","Vanden Plas","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M14x1.5","M12x1.5","disagree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
"6007154d-f34c-42ee-bc54-ca909d1c5521","2007","jaguar","xj","XJ","google-ai-overview","tight","5x108","5x108","agree","63.4","74.1|63.8","disagree","M12x1.5","M12x1.5","agree","JAGUAR XJ 2004 > ; JAGUAR XJ, XJ8, XJ8L, VANDAN PLAS 2004-08"
