make,model,years,n_rows,ymm_exact,ymm_family,ymm_crossmake,ymm_none,none_years
lincoln,aviator,2003-2005 2020-2026,50,10,0,0,0,
lincoln,town-car,1990-2011,104,22,0,0,0,
lincoln,mark-vii,1990-1992,3,3,0,0,0,
lincoln,mark-viii,1993-1998,6,6,0,0,0,
lincoln,navigator,1998-2026,124,29,0,0,0,
lincoln,continental,1990 2000-2002 2017-2020,42,8,0,0,0,
lincoln,nautilus,2019-2025,28,7,0,0,0,
lincoln,ls,2000-2006,7,7,0,0,0,
lucid,air,2022-2024,9,3,0,0,0,
maserati,quattroporte,2013-2023,13,11,0,0,0,
mazda,mazda5,2006-2015,30,10,0,0,0,
mazda,mazda3,2003-2017 2019-2026,53,22,1,0,0,
mazda,626,1990-1999,10,10,0,0,0,
mazda,mx-5-miata,2000-2026,84,27,0,0,0,
mazda,mx-5,1990 2000-2017 2019-2026,27,27,0,0,0,
mazda,cx-70,2025-2026,2,2,0,0,0,
mazda,rx-7,1990-1995,6,6,0,0,0,
mazda,mpv,1990-1998,9,9,0,0,0,
mazda,protege,1990-1999,10,10,0,0,0,
mazda,mazda6,2003-2017 2019-2021,84,18,0,0,0,
mazda,3,2003-2026,59,23,1,0,0,
mazda,6,2018,5,1,0,0,0,
mazda,b2300,1994-1999,6,6,0,0,0,
mazda,b4000,1994-1999,6,6,0,0,0,
mazda,mx-6,1990-1997,8,8,0,0,0,
mazda,millenia,1995-1999,5,5,0,0,0,
mazda,929,1990-1995,6,6,0,0,0,
mazda,cx-3,2018,3,1,0,0,0,
mazda,b3000,1994-1999,6,6,0,0,0,
mclaren,570s,2015-2021,8,7,0,0,0,
mclaren,720s,2017-2023,7,7,0,0,0,
mclaren,570gt,2018,1,1,0,0,0,
mercedesbenz,e-class-amg,2002-2017 2019-2025,46,23,0,0,0,
mercedesbenz,c-class,1994-2017 2019-2026,430,32,0,0,0,
mercedesbenz,slk-class-amg,2000-2016,32,17,0,0,0,
mercedesbenz,e-class,1990-2017 2019-2026,407,32,4,0,0,
mercedesbenz,e-class-coupe,2009-2017 2019-2023,27,14,0,0,0,
